District,Percentage of Scheduled Caste Population _2001_Rural,Percentage of Scheduled Caste Population _2001_Urban,Percentage of Scheduled Caste Population _2001_Total,Percentage of Scheduled Caste Population _2011_Rural,Percentage of Scheduled Caste Population _2011_Urban,Percentage of Scheduled Caste Population _2011_Total
Tiptur,15.48,9.56,14.03,15.93,9.01,14.08
Turuvekere,13.31,11.57,13.14,13.76,12.25,13.61
Kunigal,13.33,10.63,12.99,14.21,11.35,13.78
Srinivaspura,3.4,0.3,24.77,3.46,0.3,28.58
Kolar,4.68,1,22.81,4.8,1.1,23.6
Malur,3.38,0.3,24.33,3.47,0.4,25.4
Bangarpet,31.38,23.09,29.39,4.03,2.15,40.18
Mulabagilu,4.2,0.4,27.49,4.3,0.5,28.92
K.G.F,37.2,53.31,47.45,3.47,19.15,8.37
Bangalore (North),14.02,9.95,10.33,6.18,12.13,12.24
Bangalore-South,28.17,13.1,14.57,20.41,8.41,9.18
Anekal,30.46,10.41,26.56,25.17,12.93,21.26
Bangalore-East,26.43,11.74,12.79,24.54,13.82,14.58
Yelahanka,20.66,10.56,11.32,22.63,11.77,14.71
Nelamangala,24.18,14.45,22.77,24.21,12.66,21.59
Doddaballapura,24.78,9.63,20.4,25.34,10.36,20.29
Devanahalli,26.62,15.19,23.36,27.06,15.6,23.62
Hoskote,24.14,10.56,21.92,24.32,10.31,21.37
Krishnarajpet,12.06,14.96,12.33,12.66,15.55,12.95
Nagamangala,11.93,9.39,11.72,12.98,10.82,12.77
Pandavpura,11.74,12.96,11.87,12.52,13.89,12.68
Srirangapatna,15.51,9.52,13.71,15.82,10.33,14.78
Mandya,13.21,13.28,13.23,14.1,13.4,13.87
Maddur,12.74,13.59,12.82,14.08,12.38,13.88
Malavalli,20.18,22.99,20.53,20.69,22.01,20.87
Sakleshpura,30.95,11.11,27.53,33.69,12.01,29.75
Belur,29.33,13.52,27.59,32.86,17.5,30.99
Arsikere,18.81,16.1,18.41,20.91,16.39,20.14
Hassan,15.47,6.52,12.17,17.17,7.7,12.93
Alur,25.25,27.81,25.43,27.8,27.71,27.81
Arkalgud,20.42,20.99,20.47,21.27,21.13,21.26
Holenarasipura,17.81,23.32,18.66,19.03,24.31,19.9
Channarayapatna,10.22,11.09,10.33,11.21,11.09,11.19
Mangalore,6.22,3.97,4.69,7.61,4.24,4.95
Bantwal,5.11,2.34,4.69,5.67,2.94,4.87
Belthangady,8.94,12.17,9.04,9.5,9.42,9.5
Puttur,12.3,8.74,11.65,12.68,8.65,11.83
Sulya,14.36,10.61,13.88,14.54,10.38,13.97
Mudabidri,6.22,3.97,4.69,7.61,4.24,4.95
Kadaba,11.6,0,11.6,12.78,0,12.78
Madikeri,10.42,9.77,10.27,11.45,10.02,11.12
Somawarpet,15.72,13.27,15.52,17.08,13.72,16.72
Virajpet,10.5,9.61,10.4,11.46,10.16,11.3
Piriyapatna,16.76,8.41,16.2,17.81,8.89,17.21
Hunsur,18.62,16.02,18.17,19.19,17.4,18.87
K.R.Nagar,14.61,14.39,14.58,15.05,14.68,15
Mysuru,17.82,11.26,12.77,18.64,11.48,12.98
Heggadadevanakote,27.19,23.04,26.99,27.96,24.02,27.65
Nanjangud,22.95,19.34,22.47,23.19,18.89,22.63
T.Narasipura,26.96,12.33,25.22,28.55,15.78,26.31
Saraguru,0,0,0,28.2,27.07,28.05
Gundlupet,19.94,13.28,19.11,20.09,13.81,19.3
Chamarajanagara,24.48,18.06,23.33,25.99,19.5,23.99
Yalandur,35.37,23.37,34.05,36.76,24.08,35.4
Kollegala,27.46,25.74,27.19,35.79,22.32,30.85
Kollegala(Hanur),0,0,0,47.54,13.32,25.67
Gauribidanur,25.6,12.4,24.1,27.19,14.16,25.05
Chikballapur,29.8,14.2,25.3,30.49,15.88,26.12
Gudibande,26,10.8,23.4,26.4,13.65,24.24
Bagepalli,27.2,15.4,25.8,29.12,16.93,26.93
Shidlagatta,25.4,7.6,21.6,26.63,9.24,22.47
Chinthamani,26.5,13.2,23.3,27.88,14.72,24.52
Magadi,20.12,10.61,18.94,21.45,12.84,19.9
Ramanagar,19.51,17.12,18.71,19.97,16.42,18.57
Channapatna,18.45,14.41,17.43,18.69,14.19,17.46
Kanakpura,20.16,11.92,19.01,20.64,12.68,19.42
Yadgir,25.01,13.48,22.33,28.89,16.43,24.99
Shahapur,24.61,11.7,22.69,28.27,13.31,24.2
Shorapur,19.42,9.76,18.17,18.24,11.3,16.83
Gurumithakala,0,0,0,27.19,17.02,25.73
Vadagera,0,0,0,24.83,0,24.83
Hunisigi,0,0,0,25.93,0,25.93
State Total,18.39,11.95,16.2,20.01,12.71,17.15
